RateDate,Currency,RateToUSD
2026-01-05,EUR,1.0708
2026-01-05,GBP,1.2764
2026-01-05,CAD,0.7406
2026-01-12,EUR,1.0609
2026-01-12,GBP,1.2853
2026-01-12,CAD,0.7421
2026-01-19,EUR,1.0504
2026-01-19,GBP,1.2797
2026-01-19,CAD,0.7488
2026-01-26,EUR,1.0563
2026-01-26,GBP,1.2901
2026-01-26,CAD,0.7531
2026-02-02,EUR,1.0636
2026-02-02,GBP,1.291
2026-02-02,CAD,0.7498
2026-02-09,EUR,1.0605
2026-02-09,GBP,1.2911
2026-02-09,CAD,0.7514
2026-02-16,EUR,1.0519
2026-02-16,GBP,1.2811
2026-02-16,CAD,0.7571
2026-02-23,EUR,1.0602
2026-02-23,GBP,1.2915
2026-02-23,CAD,0.7568
2026-03-02,EUR,1.0662
2026-03-02,GBP,1.3034
2026-03-02,CAD,0.7587
2026-03-09,EUR,1.0586
2026-03-09,GBP,1.3085
2026-03-09,CAD,0.7583
2026-03-16,EUR,1.0492
2026-03-16,GBP,1.3081
2026-03-16,CAD,0.7522
2026-03-23,EUR,1.0541
2026-03-23,GBP,1.3102
2026-03-23,CAD,0.7521
2026-03-30,EUR,1.0624
2026-03-30,GBP,1.3047
2026-03-30,CAD,0.7448
