BudgetKey,YearMonth,RegionKey,Category,BudgetAmount,BudgetUnits
1,2026-01,1,Camping,2930,26
2,2026-01,1,Hiking,1940,12
3,2026-01,1,Apparel,1550,34
4,2026-01,1,Water,2790,23
5,2026-01,2,Camping,2860,33
6,2026-01,2,Hiking,1970,12
7,2026-01,2,Apparel,1630,27
8,2026-01,2,Water,3230,12
9,2026-01,3,Camping,2910,35
10,2026-01,3,Hiking,1910,16
11,2026-01,3,Apparel,1630,17
12,2026-01,3,Water,2680,34
13,2026-01,4,Camping,2970,14
14,2026-01,4,Hiking,2490,13
15,2026-01,4,Apparel,1440,18
16,2026-01,4,Water,3570,31
17,2026-02,1,Camping,2250,22
18,2026-02,1,Hiking,2630,29
19,2026-02,1,Apparel,1510,25
20,2026-02,1,Water,2600,29
21,2026-02,2,Camping,2090,24
22,2026-02,2,Hiking,2310,36
23,2026-02,2,Apparel,1640,20
24,2026-02,2,Water,2910,37
25,2026-02,3,Camping,2640,27
26,2026-02,3,Hiking,1870,30
27,2026-02,3,Apparel,1580,10
28,2026-02,3,Water,3000,15
29,2026-02,4,Camping,1970,37
30,2026-02,4,Hiking,1720,14
31,2026-02,4,Apparel,1930,14
32,2026-02,4,Water,2700,17
33,2026-03,1,Camping,2720,26
34,2026-03,1,Hiking,2340,17
35,2026-03,1,Apparel,1730,20
36,2026-03,1,Water,2920,17
37,2026-03,2,Camping,2050,20
38,2026-03,2,Hiking,2100,28
39,2026-03,2,Apparel,1730,30
40,2026-03,2,Water,3550,38
41,2026-03,3,Camping,2470,16
42,2026-03,3,Hiking,2670,13
43,2026-03,3,Apparel,1910,38
44,2026-03,3,Water,2660,13
45,2026-03,4,Camping,2080,18
46,2026-03,4,Hiking,2370,20
47,2026-03,4,Apparel,1850,22
48,2026-03,4,Water,3710,26
