SnapshotDate,ProductKey,WarehouseCode,QuantityOnHand,ReorderPoint
2026-01-04,1,WH-WEST,142,30
2026-01-04,2,WH-WEST,128,30
2026-01-04,7,WH-EAST,133,30
2026-01-04,10,WH-EAST,18,30
2026-01-04,13,WH-CENTRAL,137,30
2026-01-04,19,WH-SOUTH,23,5
2026-01-04,20,WH-SOUTH,17,5
2026-01-04,23,WH-CENTRAL,120,30
2026-01-11,1,WH-WEST,3,30
2026-01-11,2,WH-WEST,39,30
2026-01-11,7,WH-EAST,111,30
2026-01-11,10,WH-EAST,0,30
2026-01-11,13,WH-CENTRAL,113,30
2026-01-11,19,WH-SOUTH,9,5
2026-01-11,20,WH-SOUTH,14,5
2026-01-11,23,WH-CENTRAL,96,30
2026-01-18,1,WH-WEST,69,30
2026-01-18,2,WH-WEST,28,30
2026-01-18,7,WH-EAST,48,30
2026-01-18,10,WH-EAST,82,30
2026-01-18,13,WH-CENTRAL,117,30
2026-01-18,19,WH-SOUTH,11,5
2026-01-18,20,WH-SOUTH,14,5
2026-01-18,23,WH-CENTRAL,97,30
2026-01-25,1,WH-WEST,137,30
2026-01-25,2,WH-WEST,64,30
2026-01-25,7,WH-EAST,170,30
2026-01-25,10,WH-EAST,130,30
2026-01-25,13,WH-CENTRAL,168,30
2026-01-25,19,WH-SOUTH,14,5
2026-01-25,20,WH-SOUTH,21,5
2026-01-25,23,WH-CENTRAL,21,30
2026-02-01,1,WH-WEST,0,30
2026-02-01,2,WH-WEST,79,30
2026-02-01,7,WH-EAST,121,30
2026-02-01,10,WH-EAST,177,30
2026-02-01,13,WH-CENTRAL,28,30
2026-02-01,19,WH-SOUTH,4,5
2026-02-01,20,WH-SOUTH,9,5
2026-02-01,23,WH-CENTRAL,134,30
2026-02-08,1,WH-WEST,168,30
2026-02-08,2,WH-WEST,177,30
2026-02-08,7,WH-EAST,170,30
2026-02-08,10,WH-EAST,48,30
2026-02-08,13,WH-CENTRAL,31,30
2026-02-08,19,WH-SOUTH,24,5
2026-02-08,20,WH-SOUTH,7,5
2026-02-08,23,WH-CENTRAL,165,30
2026-02-15,1,WH-WEST,26,30
2026-02-15,2,WH-WEST,168,30
2026-02-15,7,WH-EAST,50,30
2026-02-15,10,WH-EAST,13,30
2026-02-15,13,WH-CENTRAL,8,30
2026-02-15,19,WH-SOUTH,22,5
2026-02-15,20,WH-SOUTH,2,5
2026-02-15,23,WH-CENTRAL,117,30
2026-02-22,1,WH-WEST,55,30
2026-02-22,2,WH-WEST,125,30
2026-02-22,7,WH-EAST,71,30
2026-02-22,10,WH-EAST,1,30
2026-02-22,13,WH-CENTRAL,90,30
2026-02-22,19,WH-SOUTH,10,5
2026-02-22,20,WH-SOUTH,23,5
2026-02-22,23,WH-CENTRAL,141,30
2026-03-01,1,WH-WEST,87,30
2026-03-01,2,WH-WEST,81,30
2026-03-01,7,WH-EAST,161,30
2026-03-01,10,WH-EAST,39,30
2026-03-01,13,WH-CENTRAL,45,30
2026-03-01,19,WH-SOUTH,20,5
2026-03-01,20,WH-SOUTH,25,5
2026-03-01,23,WH-CENTRAL,93,30
2026-03-08,1,WH-WEST,100,30
2026-03-08,2,WH-WEST,123,30
2026-03-08,7,WH-EAST,169,30
2026-03-08,10,WH-EAST,132,30
2026-03-08,13,WH-CENTRAL,45,30
2026-03-08,19,WH-SOUTH,5,5
2026-03-08,20,WH-SOUTH,10,5
2026-03-08,23,WH-CENTRAL,98,30
