EventKey,SessionID,CustomerKey,EventTime,EventType,Page,DeviceType
1,S901,120,2026-01-06 08:44:00,PageView,/home,Mobile
2,S901,120,2026-01-06 08:50:00,ProductView,/product/19,Mobile
3,S902,121,2026-03-04 17:34:00,PageView,/home,Desktop
4,S902,121,2026-03-04 17:43:00,ProductView,/product/18,Desktop
5,S902,121,2026-03-04 17:52:00,AddToCart,/addtocart,Desktop
6,S902,121,2026-03-04 17:54:00,Checkout,/checkout,Desktop
7,S902,121,2026-03-04 17:58:00,Purchase,/purchase,Desktop
8,S903,101,2026-03-17 17:44:00,PageView,/home,Desktop
9,S904,108,2026-03-13 08:10:00,PageView,/home,Mobile
10,S904,108,2026-03-13 08:14:00,ProductView,/product/10,Mobile
11,S904,108,2026-03-13 08:23:00,AddToCart,/addtocart,Mobile
12,S904,108,2026-03-13 08:29:00,Checkout,/checkout,Mobile
13,S905,104,2026-03-28 21:03:00,PageView,/home,Tablet
14,S906,106,2026-03-09 18:53:00,PageView,/home,Mobile
15,S906,106,2026-03-09 18:59:00,ProductView,/product/13,Mobile
16,S907,126,2026-01-14 10:14:00,PageView,/home,Desktop
17,S907,126,2026-01-14 10:18:00,ProductView,/product/16,Desktop
18,S908,122,2026-03-27 19:44:00,PageView,/home,Tablet
19,S908,122,2026-03-27 19:49:00,ProductView,/product/3,Tablet
20,S908,122,2026-03-27 19:52:00,AddToCart,/addtocart,Tablet
21,S908,122,2026-03-27 19:59:00,Checkout,/checkout,Tablet
22,S909,115,2026-01-09 19:48:00,PageView,/home,Desktop
23,S910,122,2026-02-25 15:10:00,PageView,/home,Tablet
24,S910,122,2026-02-25 15:13:00,ProductView,/product/5,Tablet
25,S910,122,2026-02-25 15:20:00,AddToCart,/addtocart,Tablet
26,S911,124,2026-02-12 08:51:00,PageView,/home,Tablet
27,S911,124,2026-02-12 08:57:00,ProductView,/product/8,Tablet
28,S911,124,2026-02-12 09:06:00,AddToCart,/addtocart,Tablet
29,S911,124,2026-02-12 09:07:00,Checkout,/checkout,Tablet
30,S911,124,2026-02-12 09:13:00,Purchase,/purchase,Tablet
31,S912,120,2026-02-12 08:17:00,PageView,/home,Mobile
32,S912,120,2026-02-12 08:24:00,ProductView,/product/5,Mobile
33,S913,118,2026-03-07 08:10:00,PageView,/home,Desktop
34,S913,118,2026-03-07 08:16:00,ProductView,/product/5,Desktop
35,S914,113,2026-01-26 11:08:00,PageView,/home,Mobile
36,S915,128,2026-02-10 16:14:00,PageView,/home,Mobile
37,S915,128,2026-02-10 16:20:00,ProductView,/product/13,Mobile
38,S915,128,2026-02-10 16:21:00,AddToCart,/addtocart,Mobile
39,S915,128,2026-02-10 16:22:00,Checkout,/checkout,Mobile
40,S915,128,2026-02-10 16:25:00,Purchase,/purchase,Mobile
41,S916,114,2026-01-05 17:16:00,PageView,/home,Mobile
42,S916,114,2026-01-05 17:21:00,ProductView,/product/6,Mobile
43,S917,129,2026-02-17 12:18:00,PageView,/home,Mobile
44,S917,129,2026-02-17 12:26:00,ProductView,/product/13,Mobile
45,S918,113,2026-01-07 14:04:00,PageView,/home,Mobile
46,S918,113,2026-01-07 14:13:00,ProductView,/product/16,Mobile
47,S918,113,2026-01-07 14:14:00,AddToCart,/addtocart,Mobile
48,S919,109,2026-03-13 21:20:00,PageView,/home,Tablet
49,S920,112,2026-03-22 12:34:00,PageView,/home,Mobile
50,S920,112,2026-03-22 12:39:00,ProductView,/product/24,Mobile
51,S920,112,2026-03-22 12:41:00,AddToCart,/addtocart,Mobile
52,S920,112,2026-03-22 12:50:00,Checkout,/checkout,Mobile
53,S920,112,2026-03-22 12:53:00,Purchase,/purchase,Mobile
54,S921,120,2026-02-15 15:54:00,PageView,/home,Mobile
55,S921,120,2026-02-15 15:56:00,ProductView,/product/22,Mobile
56,S922,126,2026-02-01 17:17:00,PageView,/home,Mobile
57,S922,126,2026-02-01 17:26:00,ProductView,/product/14,Mobile
58,S922,126,2026-02-01 17:34:00,AddToCart,/addtocart,Mobile
59,S922,126,2026-02-01 17:38:00,Checkout,/checkout,Mobile
60,S923,118,2026-02-02 11:26:00,PageView,/home,Desktop
61,S924,121,2026-02-15 19:02:00,PageView,/home,Tablet
